event_id,merchant_id,customer_id,order_id,timestamp,amount,product_category,payment_method,device_type,location,payment_status,failure_reason,retry_count,checkout_duration,cart_abandoned,refund_requested,refund_status,discount_requested,discount_given,negotiation_started,negotiation_rounds,final_order_status
evt_000045,mer_elec_01,cust_0160,ord_100045,2026-07-22 16:55:50,5157.78,Consumer Electronics,Credit Card,MacOS,Pune,ABANDONED,USER_DROPPED_AT_OTP,0,120,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000046,mer_lux_06,cust_1237,ord_100046,2026-07-22 17:00:19,8775.53,Luxury & Watches,Debit Card,Windows,Mumbai,SUCCESS,,0,131,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000047,mer_fitn_05,cust_0057,ord_100047,2026-07-22 17:00:39,2957.81,Fitness & Sports,Debit Card,MacOS,Bengaluru,SUCCESS,,0,151,False,False,NONE,407.50,407.50,True,1,COMPLETED
evt_000048,mer_elec_01,cust_0028,ord_100048,2026-07-22 17:04:26,3716.81,Consumer Electronics,UPI,iOS,Delhi NCR,SUCCESS,,0,46,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000049,mer_elec_01,cust_0158,ord_100049,2026-07-22 17:06:02,5618.11,Consumer Electronics,Debit Card,iOS,Delhi NCR,SUCCESS,,0,159,False,False,NONE,795.88,795.88,True,1,COMPLETED
evt_000050,mer_gadg_04,cust_0793,ord_100050,2026-07-22 17:12:10,1900.62,Mobile & Accessories,Credit Card,iOS,Chennai,SUCCESS,,0,139,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000051,mer_fash_02,cust_0126,ord_100051,2026-07-22 17:14:45,1725.02,Fashion & Apparel,Credit Card,iOS,Hyderabad,SUCCESS,,0,232,False,False,NONE,430.12,145.51,True,2,COMPLETED
evt_000052,mer_home_03,cust_0064,ord_100052,2026-07-22 17:29:29,5725.05,Home & Kitchen,UPI,Android,Mumbai,SUCCESS,,0,75,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000053,mer_fash_02,cust_0873,ord_100053,2026-07-22 17:31:38,1908.27,Fashion & Apparel,UPI,MacOS,Bengaluru,SUCCESS,,0,118,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000054,mer_lux_06,cust_0444,ord_100054,2026-07-22 17:32:29,15677.84,Luxury & Watches,Debit Card,Windows,Ahmedabad,SUCCESS,,0,59,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000055,mer_elec_01,cust_0028,ord_100055,2026-07-22 17:45:49,10488.43,Consumer Electronics,UPI,iOS,Delhi NCR,SUCCESS,,0,81,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000056,mer_fash_02,cust_0143,ord_100056,2026-07-22 17:46:09,1478.21,Fashion & Apparel,Credit Card,Windows,Jaipur,FAILED,USER_DROPPED_AT_OTP,1,101,False,False,NONE,0.00,0.00,False,0,FAILED
evt_000057,mer_lux_06,cust_0180,ord_100057,2026-07-22 17:48:44,34282.10,Luxury & Watches,Debit Card,iOS,Mumbai,SUCCESS,,0,120,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000058,mer_fitn_05,cust_0678,ord_100058,2026-07-22 17:51:49,5103.42,Fitness & Sports,Net Banking,iOS,Ahmedabad,SUCCESS,,0,201,False,False,NONE,791.66,451.97,True,2,COMPLETED
evt_000059,mer_gadg_04,cust_0207,ord_100059,2026-07-22 17:56:08,2459.38,Mobile & Accessories,Debit Card,Windows,Lucknow,SUCCESS,,0,135,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000060,mer_gadg_04,cust_0439,ord_100060,2026-07-22 18:02:24,906.79,Mobile & Accessories,Credit Card,iOS,Chennai,SUCCESS,,0,185,False,False,NONE,151.81,106.17,True,2,COMPLETED
evt_000061,mer_home_03,cust_0177,ord_100061,2026-07-22 18:23:52,5706.31,Home & Kitchen,Credit Card,Windows,Delhi NCR,SUCCESS,,0,172,False,False,NONE,462.83,462.83,True,1,COMPLETED
evt_000062,mer_lux_06,cust_0082,ord_100062,2026-07-22 18:28:48,21614.54,Luxury & Watches,UPI,Android,Mumbai,SUCCESS,,0,80,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000063,mer_fitn_05,cust_1106,ord_100063,2026-07-22 18:30:56,2529.04,Fitness & Sports,UPI,Windows,Jaipur,SUCCESS,,0,61,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000064,mer_fash_02,cust_0093,ord_100064,2026-07-22 18:40:30,1469.88,Fashion & Apparel,Debit Card,Windows,Delhi NCR,SUCCESS,,0,83,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000065,mer_home_03,cust_1151,ord_100065,2026-07-22 18:42:41,4055.73,Home & Kitchen,UPI,iOS,Delhi NCR,SUCCESS,,0,74,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000066,mer_gadg_04,cust_0428,ord_100066,2026-07-22 18:45:55,3487.01,Mobile & Accessories,Debit Card,iOS,Ahmedabad,SUCCESS,,0,97,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000067,mer_lux_06,cust_0440,ord_100067,2026-07-22 18:50:08,11674.89,Luxury & Watches,UPI,iOS,Pune,ABANDONED,USER_DROPPED_AT_OTP,0,167,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000068,mer_fash_02,cust_0630,ord_100068,2026-07-22 19:03:04,2186.17,Fashion & Apparel,Credit Card,Android,Chennai,SUCCESS,,0,72,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000069,mer_gadg_04,cust_1648,ord_100069,2026-07-22 19:18:48,1369.80,Mobile & Accessories,Credit Card,Windows,Bengaluru,SUCCESS,,0,169,False,False,NONE,250.86,113.01,True,1,COMPLETED
evt_000070,mer_fash_02,cust_0300,ord_100070,2026-07-22 19:24:59,1358.14,Fashion & Apparel,Net Banking,Android,Ahmedabad,SUCCESS,,0,168,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000071,mer_gadg_04,cust_0663,ord_100071,2026-07-22 19:25:10,2089.72,Mobile & Accessories,UPI,iOS,Hyderabad,SUCCESS,,0,49,False,True,PROCESSED,0.00,0.00,False,0,REFUNDED
evt_000072,mer_lux_06,cust_0015,ord_100072,2026-07-22 19:27:38,9996.38,Luxury & Watches,Credit Card,Android,Kolkata,SUCCESS,,0,122,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000073,mer_lux_06,cust_0290,ord_100073,2026-07-22 19:29:37,12501.62,Luxury & Watches,UPI,iOS,Bengaluru,SUCCESS,,0,39,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000074,mer_elec_01,cust_1200,ord_100074,2026-07-22 19:40:19,2388.25,Consumer Electronics,Net Banking,MacOS,Delhi NCR,SUCCESS,,0,119,False,False,NONE,119.41,0.00,True,1,COMPLETED
evt_000075,mer_lux_06,cust_0665,ord_100075,2026-07-22 19:51:38,13912.63,Luxury & Watches,UPI,MacOS,Chennai,SUCCESS,,0,127,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000076,mer_lux_06,cust_0663,ord_100076,2026-07-22 20:04:07,19178.92,Luxury & Watches,EMI,iOS,Hyderabad,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,186,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000077,mer_lux_06,cust_0430,ord_100077,2026-07-22 20:09:52,17888.63,Luxury & Watches,UPI,iOS,Bengaluru,SUCCESS,,0,130,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000078,mer_home_03,cust_1458,ord_100078,2026-07-22 20:10:27,3335.45,Home & Kitchen,UPI,Android,Jaipur,SUCCESS,,0,134,False,False,NONE,509.04,251.93,True,1,COMPLETED
evt_000079,mer_fitn_05,cust_0441,ord_100079,2026-07-22 20:12:24,4195.13,Fitness & Sports,Wallet,Windows,Hyderabad,SUCCESS,,0,155,False,False,NONE,470.29,470.29,True,2,COMPLETED
evt_000080,mer_fash_02,cust_0581,ord_100080,2026-07-22 20:15:15,2644.44,Fashion & Apparel,UPI,Android,Delhi NCR,SUCCESS,,0,132,False,False,NONE,315.00,315.00,True,1,COMPLETED
evt_000081,mer_home_03,cust_1599,ord_100081,2026-07-22 20:17:11,6963.16,Home & Kitchen,UPI,iOS,Mumbai,SUCCESS,,0,89,False,False,NONE,1679.25,428.41,True,1,COMPLETED
evt_000082,mer_fash_02,cust_0008,ord_100082,2026-07-22 20:21:15,983.99,Fashion & Apparel,UPI,MacOS,Bengaluru,SUCCESS,,0,177,False,False,NONE,108.01,108.01,True,1,COMPLETED
evt_000083,mer_gadg_04,cust_1090,ord_100083,2026-07-22 20:24:57,474.08,Mobile & Accessories,Credit Card,Windows,Delhi NCR,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,430,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000084,mer_gadg_04,cust_0477,ord_100084,2026-07-22 20:42:39,1602.07,Mobile & Accessories,UPI,MacOS,Lucknow,SUCCESS,,0,252,False,False,NONE,155.42,155.42,True,4,COMPLETED
evt_000085,mer_fash_02,cust_1629,ord_100085,2026-07-22 20:49:23,2482.49,Fashion & Apparel,EMI,Android,Delhi NCR,SUCCESS,,0,132,False,True,PROCESSED,0.00,0.00,False,0,REFUNDED
evt_000086,mer_fash_02,cust_0236,ord_100086,2026-07-22 20:52:42,2496.54,Fashion & Apparel,UPI,MacOS,Pune,FAILED,BANK_SERVER_DOWN,0,131,False,False,NONE,0.00,0.00,False,0,FAILED
evt_000087,mer_home_03,cust_1391,ord_100087,2026-07-22 20:56:33,3303.03,Home & Kitchen,Credit Card,iOS,Mumbai,SUCCESS,,0,108,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000088,mer_elec_01,cust_0873,ord_100088,2026-07-22 21:19:27,2955.78,Consumer Electronics,Debit Card,MacOS,Bengaluru,SUCCESS,,0,114,False,True,PROCESSED,0.00,0.00,False,0,REFUNDED
evt_000089,mer_lux_06,cust_0003,ord_100089,2026-07-22 21:19:37,14820.21,Luxury & Watches,Net Banking,Android,Delhi NCR,SUCCESS,,0,102,False,True,REJECTED,0.00,0.00,False,0,COMPLETED
evt_000090,mer_gadg_04,cust_0025,ord_100090,2026-07-22 21:20:06,1116.91,Mobile & Accessories,UPI,Android,Mumbai,SUCCESS,,0,39,False,True,PROCESSED,0.00,0.00,False,0,REFUNDED
evt_000091,mer_home_03,cust_1488,ord_100091,2026-07-22 21:37:32,5219.27,Home & Kitchen,Credit Card,MacOS,Delhi NCR,SUCCESS,,0,157,False,False,NONE,841.47,547.62,True,2,COMPLETED
evt_000092,mer_elec_01,cust_0046,ord_100092,2026-07-22 21:38:24,7156.88,Consumer Electronics,Credit Card,Android,Jaipur,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,268,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000093,mer_lux_06,cust_1022,ord_100093,2026-07-22 21:42:19,10713.56,Luxury & Watches,EMI,MacOS,Delhi NCR,SUCCESS,,0,63,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000094,mer_elec_01,cust_0855,ord_100094,2026-07-22 21:47:13,5472.86,Consumer Electronics,Credit Card,MacOS,Pune,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,226,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000095,mer_elec_01,cust_0136,ord_100095,2026-07-22 21:54:32,2373.12,Consumer Electronics,Credit Card,MacOS,Bengaluru,SUCCESS,,0,67,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000096,mer_elec_01,cust_0765,ord_100096,2026-07-22 21:56:50,4692.39,Consumer Electronics,Credit Card,Windows,Pune,SUCCESS,,0,74,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000097,mer_elec_01,cust_1130,ord_100097,2026-07-22 22:03:55,2874.23,Consumer Electronics,Credit Card,Android,Delhi NCR,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,431,True,False,NONE,543.77,338.83,True,1,ABANDONED
evt_000098,mer_elec_01,cust_0125,ord_100098,2026-07-22 22:04:33,4262.12,Consumer Electronics,UPI,Windows,Delhi NCR,SUCCESS,,0,79,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000099,mer_fitn_05,cust_1710,ord_100099,2026-07-22 22:09:35,2847.03,Fitness & Sports,UPI,MacOS,Delhi NCR,SUCCESS,,0,167,False,False,NONE,399.07,399.07,True,2,COMPLETED
evt_000100,mer_home_03,cust_0565,ord_100100,2026-07-22 22:13:23,1875.77,Home & Kitchen,UPI,iOS,Bengaluru,SUCCESS,,0,12,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000101,mer_lux_06,cust_1370,ord_100101,2026-07-22 22:16:45,24929.25,Luxury & Watches,UPI,Windows,Hyderabad,SUCCESS,,0,80,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000102,mer_gadg_04,cust_0202,ord_100102,2026-07-22 22:20:26,2407.96,Mobile & Accessories,UPI,MacOS,Bengaluru,SUCCESS,,0,178,False,False,NONE,120.40,120.40,True,1,COMPLETED
evt_000103,mer_gadg_04,cust_0747,ord_100103,2026-07-22 22:26:33,921.52,Mobile & Accessories,UPI,Android,Mumbai,SUCCESS,,0,277,False,False,NONE,226.69,109.39,True,4,COMPLETED
evt_000104,mer_home_03,cust_0700,ord_100104,2026-07-22 22:29:29,4551.40,Home & Kitchen,UPI,MacOS,Hyderabad,SUCCESS,,0,89,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000105,mer_lux_06,cust_0061,ord_100105,2026-07-22 22:31:30,10375.99,Luxury & Watches,UPI,MacOS,Mumbai,SUCCESS,,0,222,False,False,NONE,1754.80,1102.96,True,2,COMPLETED
evt_000106,mer_fitn_05,cust_1266,ord_100106,2026-07-22 22:34:15,7432.52,Fitness & Sports,UPI,Windows,Mumbai,SUCCESS,,0,130,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000107,mer_gadg_04,cust_1463,ord_100107,2026-07-22 22:35:27,1697.77,Mobile & Accessories,UPI,Windows,Delhi NCR,SUCCESS,,0,136,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000108,mer_fitn_05,cust_0023,ord_100108,2026-07-22 22:42:31,2517.83,Fitness & Sports,Debit Card,Windows,Bengaluru,ABANDONED,USER_DROPPED_AT_OTP,0,301,True,False,NONE,501.73,216.40,True,2,ABANDONED
evt_000109,mer_home_03,cust_1322,ord_100109,2026-07-22 22:48:51,5138.19,Home & Kitchen,Credit Card,MacOS,Delhi NCR,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,457,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000110,mer_gadg_04,cust_0001,ord_100110,2026-07-22 22:58:05,657.58,Mobile & Accessories,UPI,Android,Pune,SUCCESS,,0,96,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000111,mer_gadg_04,cust_0636,ord_100111,2026-07-22 23:01:26,1897.80,Mobile & Accessories,Credit Card,MacOS,Hyderabad,SUCCESS,,0,107,False,False,NONE,186.60,186.60,True,1,COMPLETED
evt_000112,mer_fitn_05,cust_0026,ord_100112,2026-07-22 23:06:44,3536.17,Fitness & Sports,Credit Card,Android,Pune,SUCCESS,,0,122,False,False,NONE,730.33,285.86,True,1,COMPLETED
evt_000113,mer_lux_06,cust_0561,ord_100113,2026-07-22 23:07:35,5724.55,Luxury & Watches,Credit Card,Windows,Delhi NCR,SUCCESS,,0,167,False,False,NONE,633.85,633.85,True,1,COMPLETED
evt_000114,mer_gadg_04,cust_0366,ord_100114,2026-07-22 23:21:27,1178.18,Mobile & Accessories,Debit Card,Windows,Hyderabad,SUCCESS,,0,150,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000115,mer_lux_06,cust_0008,ord_100115,2026-07-22 23:26:03,15219.60,Luxury & Watches,UPI,MacOS,Bengaluru,SUCCESS,,0,165,False,False,NONE,2633.56,1207.11,True,2,COMPLETED
evt_000116,mer_fitn_05,cust_1329,ord_100116,2026-07-22 23:27:36,3570.78,Fitness & Sports,UPI,Android,Kolkata,SUCCESS,,0,21,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000117,mer_gadg_04,cust_0766,ord_100117,2026-07-22 23:30:35,1653.30,Mobile & Accessories,UPI,Android,Mumbai,SUCCESS,,0,67,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000118,mer_fash_02,cust_0074,ord_100118,2026-07-22 23:39:41,3237.47,Fashion & Apparel,Credit Card,iOS,Mumbai,SUCCESS,,0,69,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000119,mer_fitn_05,cust_0099,ord_100119,2026-07-22 23:42:02,1520.36,Fitness & Sports,Net Banking,iOS,Delhi NCR,SUCCESS,,0,89,False,False,NONE,213.07,213.07,True,1,COMPLETED
evt_000120,mer_fitn_05,cust_1038,ord_100120,2026-07-22 23:47:20,10907.63,Fitness & Sports,Credit Card,Windows,Delhi NCR,SUCCESS,,0,152,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000121,mer_fash_02,cust_1297,ord_100121,2026-07-22 23:50:19,1979.58,Fashion & Apparel,UPI,Android,Bengaluru,SUCCESS,,0,79,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000122,mer_fitn_05,cust_0409,ord_100122,2026-07-22 23:52:14,2969.03,Fitness & Sports,UPI,iOS,Delhi NCR,SUCCESS,,0,128,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000123,mer_home_03,cust_1196,ord_100123,2026-07-23 00:03:40,1627.88,Home & Kitchen,UPI,Windows,Hyderabad,SUCCESS,,0,146,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000124,mer_lux_06,cust_0234,ord_100124,2026-07-23 00:26:34,11129.30,Luxury & Watches,UPI,Windows,Hyderabad,SUCCESS,,0,91,False,False,NONE,0.00,0.00,False,0,COMPLETED
